Source,Target,Type,Id,Label,Weight
6921,7065,Directed,35297,,1
6694,6921,Directed,35230,,1
5555,6921,Directed,35138,,1
2824,6921,Directed,35042,,1
6193,6921,Directed,34911,,1
6147,6921,Directed,34879,,1
5842,6921,Directed,34395,,1
5759,6921,Directed,34188,,1
5446,6921,Directed,33662,,1
5428,6921,Directed,33619,,1
5393,6921,Directed,33503,,1
5073,6921,Directed,32661,,1
4871,6921,Directed,31949,,1
4801,6921,Directed,31763,,1
4755,6921,Directed,31655,,1
6716,6921,Directed,31340,,1
4528,6921,Directed,30924,,1
4292,6921,Directed,30132,,1
4066,6921,Directed,25693,,1
4800,6921,Directed,24812,,1
2845,6921,Directed,22913,,1
2737,6921,Directed,22458,,1
2723,6921,Directed,22245,,1
5908,6921,Directed,18984,,1
2081,6921,Directed,17810,,1
1924,6921,Directed,16684,,1
1357,6921,Directed,11844,,1
1010,6921,Directed,9418,,1
698,6921,Directed,6900,,1
470,6921,Directed,4911,,1
252,6921,Directed,2851,,1
237,6921,Directed,2702,,1
5842,6135,Directed,34412,,1
5842,4977,Directed,34409,,1
5842,6588,Directed,34407,,1
5842,5555,Directed,34402,,1
5842,6147,Directed,34394,,1
5842,6138,Directed,34391,,1
5842,6820,Directed,34389,,1
5842,6327,Directed,34381,,1
5842,6902,Directed,34379,,1
5842,6223,Directed,34374,,1
5842,6190,Directed,34370,,1
5842,4793,Directed,34369,,1
5842,6019,Directed,34367,,1
5842,6645,Directed,34366,,1
5842,5855,Directed,34364,,1
5842,6698,Directed,34363,,1
5842,5945,Directed,34360,,1
5842,5969,Directed,34357,,1
5807,5842,Directed,34292,,1
5791,5842,Directed,34257,,1
5788,5842,Directed,34244,,1
5783,5842,Directed,34235,,1
5765,5842,Directed,34198,,1
5760,5842,Directed,34189,,1
5530,5842,Directed,33842,,1
6705,5842,Directed,33789,,1
5495,5842,Directed,33782,,1
876,5842,Directed,33774,,1
5469,5842,Directed,33728,,1
5456,5842,Directed,33697,,1
5447,5842,Directed,33667,,1
5428,5842,Directed,33631,,1
3223,5842,Directed,33562,,1
3709,5842,Directed,33190,,1
5301,5842,Directed,33172,,1
6808,5842,Directed,33119,,1
5179,5842,Directed,32897,,1
5117,5842,Directed,32731,,1
4968,5842,Directed,32432,,1
4871,5842,Directed,31948,,1
4860,5842,Directed,31900,,1
4801,5842,Directed,31762,,1
4778,5842,Directed,31702,,1
4760,5842,Directed,31667,,1
276,5842,Directed,31609,,1
6716,5842,Directed,31369,,1
4597,5842,Directed,31121,,1
6676,5842,Directed,30941,,1
4399,5842,Directed,30514,,1
4379,5842,Directed,30470,,1
4317,5842,Directed,30219,,1
4259,5842,Directed,30026,,1
4244,5842,Directed,29978,,1
4142,5842,Directed,29443,,1
4111,5842,Directed,29255,,1
4090,5842,Directed,29201,,1
4079,5842,Directed,29139,,1
4033,5842,Directed,28983,,1
3976,5842,Directed,28750,,1
3970,5842,Directed,28734,,1
1927,5842,Directed,28643,,1
3936,5842,Directed,28614,,1
6708,5842,Directed,28252,,1
6358,5842,Directed,28198,,1
3784,5842,Directed,27947,,1
3616,5842,Directed,27072,,1
531,5842,Directed,26962,,1
3533,5842,Directed,26777,,1
3490,5842,Directed,26596,,1
3470,5842,Directed,26520,,1
3424,5842,Directed,26296,,1
3391,5842,Directed,25967,,1
3320,5842,Directed,25756,,1
3099,5842,Directed,24761,,1
3064,5842,Directed,24553,,1
3053,5842,Directed,24525,,1
2956,5842,Directed,24001,,1
6553,5842,Directed,23824,,1
2886,5842,Directed,23450,,1
2883,5842,Directed,23427,,1
3762,5842,Directed,23378,,1
2798,5842,Directed,22958,,1
2845,5842,Directed,22934,,1
2762,5842,Directed,22668,,1
2750,5842,Directed,22634,,1
2748,5842,Directed,22626,,1
2740,5842,Directed,22496,,1
2683,5842,Directed,21994,,1
2630,5842,Directed,21420,,1
2552,5842,Directed,21016,,1
2508,5842,Directed,20758,,1
2498,5842,Directed,20679,,1
2403,5842,Directed,19759,,1
6440,5842,Directed,19585,,1
2321,5842,Directed,19241,,1
2111,5842,Directed,18019,,1
2026,5842,Directed,17413,,1
1996,5842,Directed,17166,,1
1924,5842,Directed,16525,,1
1836,5842,Directed,15858,,1
1812,5842,Directed,15752,,1
1773,5842,Directed,15155,,1
1683,5842,Directed,14188,,1
1410,5842,Directed,12159,,1
1382,5842,Directed,11926,,1
1355,5842,Directed,11834,,1
1307,5842,Directed,11539,,1
1302,5842,Directed,11506,,1
1291,5842,Directed,11463,,1
6224,5842,Directed,11143,,1
1229,5842,Directed,11113,,1
1146,5842,Directed,10514,,1
1115,5842,Directed,10313,,1
1089,5842,Directed,9884,,1
1054,5842,Directed,9671,,1
1010,5842,Directed,9415,,1
952,5842,Directed,9000,,1
938,5842,Directed,8861,,1
874,5842,Directed,8221,,1
859,5842,Directed,8139,,1
858,5842,Directed,8132,,1
845,5842,Directed,8065,,1
6762,5842,Directed,7792,,1
785,5842,Directed,7531,,1
698,5842,Directed,6896,,1
691,5842,Directed,6870,,1
657,5842,Directed,6563,,1
562,5842,Directed,5673,,1
494,5842,Directed,5198,,1
1214,5842,Directed,4654,,1
260,5842,Directed,2905,,1
249,5842,Directed,2833,,1
185,5842,Directed,2221,,1
1167,5842,Directed,1578,,1
140,5842,Directed,1346,,1
94,5842,Directed,990,,1
89,5842,Directed,819,,1
6428,5842,Directed,512,,1
24,5842,Directed,247,,1
5345,5979,Directed,33382,,1
5345,6532,Directed,33381,,1
5345,6803,Directed,33379,,1
5345,5381,Directed,33377,,1
5345,6639,Directed,33375,,1
5345,6382,Directed,33369,,1
5345,6043,Directed,33368,,1
5345,5775,Directed,33367,,1
5345,5560,Directed,33365,,1
5345,3220,Directed,33362,,1
5345,4380,Directed,33359,,1
5345,863,Directed,33357,,1
5345,6665,Directed,33354,,1
5345,5654,Directed,33353,,1
5345,1908,Directed,33351,,1
5234,5345,Directed,33019,,1
5192,5345,Directed,32922,,1
5184,5345,Directed,32907,,1
5168,5345,Directed,32875,,1
5162,5345,Directed,32868,,1
5002,5345,Directed,32487,,1
1781,5345,Directed,32444,,1
4764,5345,Directed,31676,,1
4744,5345,Directed,31630,,1
6700,5345,Directed,31399,,1
4550,5345,Directed,30981,,1
4486,5345,Directed,30844,,1
4477,5345,Directed,30782,,1
4375,5345,Directed,30455,,1
4374,5345,Directed,30442,,1
4321,5345,Directed,30233,,1
4291,5345,Directed,30130,,1
4100,5345,Directed,29236,,1
5537,5345,Directed,28135,,1
3801,5345,Directed,28010,,1
1349,5345,Directed,27651,,1
3663,5345,Directed,27284,,1
3569,5345,Directed,26889,,1
3517,5345,Directed,26702,,1
3285,5345,Directed,25542,,1
5420,5345,Directed,25175,,1
3181,5345,Directed,25025,,1
4510,5345,Directed,24654,,1
2891,5345,Directed,23559,,1
2857,5345,Directed,23277,,1
2852,5345,Directed,23262,,1
2825,5345,Directed,23106,,1
2779,5345,Directed,22760,,1
2677,5345,Directed,21968,,1
2634,5345,Directed,21445,,1
1517,5345,Directed,18993,,1
2161,5345,Directed,18276,,1
2119,5345,Directed,18069,,1
1954,5345,Directed,16835,,1
1600,5345,Directed,13721,,1
1577,5345,Directed,13432,,1
1476,5345,Directed,12710,,1
1464,5345,Directed,12600,,1
1431,5345,Directed,12395,,1
1405,5345,Directed,12136,,1
1262,5345,Directed,11254,,1
1146,5345,Directed,10513,,1
1142,5345,Directed,10460,,1
1048,5345,Directed,9637,,1
3632,5345,Directed,7777,,1
664,5345,Directed,6605,,1
485,5345,Directed,5046,,1
379,5345,Directed,4117,,1
4741,5345,Directed,3129,,1
36,5345,Directed,519,,1
4949,7113,Directed,32371,,1
4949,6182,Directed,32370,,1
4949,7095,Directed,32366,,1
4949,5234,Directed,32362,,1
4949,6139,Directed,32360,,1
4949,6138,Directed,32359,,1
4949,5216,Directed,32356,,1
4949,6118,Directed,32351,,1
4949,6764,Directed,32349,,1
4949,6510,Directed,32341,,1
4949,6091,Directed,32340,,1
4949,6563,Directed,32329,,1
4949,6955,Directed,32320,,1
4949,6930,Directed,32315,,1
4949,6000,Directed,32313,,1
4949,6924,Directed,32311,,1
4949,5379,Directed,32309,,1
4949,5977,Directed,32307,,1
4949,5941,Directed,32297,,1
4949,5015,Directed,32295,,1
4949,5910,Directed,32292,,1
4949,6804,Directed,32287,,1
4949,4957,Directed,32284,,1
4949,6779,Directed,32280,,1
4949,5856,Directed,32279,,1
4949,5854,Directed,32278,,1
4949,5851,Directed,32277,,1
4949,6961,Directed,32274,,1
4949,5603,Directed,32273,,1
4949,3143,Directed,32271,,1
4949,3210,Directed,32270,,1
4949,5826,Directed,32269,,1
4949,4793,Directed,32261,,1
4949,5792,Directed,32259,,1
4949,5818,Directed,32258,,1
4949,5788,Directed,32257,,1
4949,7034,Directed,32255,,1
4949,4587,Directed,32254,,1
4949,4657,Directed,32253,,1
4949,5742,Directed,32248,,1
4949,5807,Directed,32245,,1
4949,4231,Directed,32241,,1
4949,6722,Directed,32238,,1
4949,3421,Directed,32232,,1
4949,5620,Directed,32226,,1
4949,6551,Directed,32225,,1
4949,6522,Directed,32223,,1
4949,6517,Directed,32222,,1
