dayType,date,deviceType,Channel,Users,OrderCount,FirstTimeUsers,ReturningUsers
SALE,20230807,WAP,Google,78588,3065,78432,156
SALE,20230807,WEB,Others,1430,3,953,477
SALE,20230807,WEB,Direct,23431,2,22378,1053
SALE,20230807,WAP,Others,145466,13239,145044,422
SALE,20230807,WAP,whatsapp,2065,151,2054,11
SALE,20230807,WEB,FB,306,1,192,114
SALE,20230807,WEB,SEO,2420,2,2122,298
SALE,20230807,WAP,Direct,39406,1411,39254,152
SALE,20230807,WAP,FB,240251,15196,240010,241
SALE,20230807,WAP,SEO,9234,181,9218,16
SALE,20230807,WEB,Google,1110,3,909,201
SALE,20230807,WEB,whatsapp,39,0,25,14
SALE,20230722,WEB,SEO,2401,0,2105,296
SALE,20230722,WAP,Direct,39921,1596,39788,133
SALE,20230722,WAP,whatsapp,1713,164,1704,9
SALE,20230722,WEB,Google,966,5,807,159
SALE,20230722,WAP,Google,72702,3396,72537,165
SALE,20230722,WEB,Direct,22535,4,21685,850
SALE,20230722,WEB,whatsapp,45,0,33,12
SALE,20230722,WAP,FB,310388,23492,310064,324
SALE,20230722,WAP,SEO,9339,165,9325,14
SALE,20230722,WEB,FB,300,0,206,94
SALE,20230722,WAP,Others,161385,18293,160919,466
SALE,20230722,WEB,Others,1133,4,786,347
SALE,20231028,WAP,FB,224983,15617,224779,204
SALE,20231028,WAP,Google,72206,3055,72100,106
SALE,20231028,WEB,Others,1019,7,710,309
SALE,20231028,WAP,whatsapp,1054,58,1042,12
SALE,20231028,WEB,whatsapp,14,0,10,4
SALE,20231028,WEB,Google,1054,2,886,168
SALE,20231028,WAP,Others,118520,12112,118251,269
SALE,20231028,WEB,Direct,19765,1,19035,730
SALE,20231028,WEB,FB,493,2,328,165
SALE,20231028,WAP,SEO,6874,104,6869,5
SALE,20231028,WAP,Direct,44519,2325,44379,140
SALE,20231028,WEB,SEO,2103,0,1883,220
SALE,20230716,WAP,FB,361873,26540,361494,379
SALE,20230716,WEB,Google,848,3,725,123
SALE,20230716,WAP,SEO,8765,149,8742,23
SALE,20230716,WEB,SEO,1985,0,1760,225
SALE,20230716,WAP,Direct,40437,1666,40302,135
SALE,20230716,WEB,whatsapp,27,0,20,7
SALE,20230716,WEB,Direct,21000,4,20493,507
SALE,20230716,WEB,Others,1024,2,798,226
SALE,20230716,WEB,FB,354,0,253,101
SALE,20230716,WAP,Others,165321,19285,164837,484
SALE,20230716,WAP,Google,63198,2983,63068,130
SALE,20230716,WAP,whatsapp,1808,160,1798,10
SALE,20230708,WAP,Google,80663,3775,80519,144
SALE,20230708,WEB,Google,1072,7,919,153
SALE,20230708,WEB,whatsapp,30,0,25,5
SALE,20230708,WEB,Others,1237,4,860,377
SALE,20230708,WEB,Direct,17789,2,16973,816
SALE,20230708,WAP,Others,174684,20360,174177,507
SALE,20230708,WAP,FB,351371,27796,351004,367
SALE,20230708,WEB,SEO,2746,0,2442,304
SALE,20230708,WAP,whatsapp,1632,135,1621,11
SALE,20230708,WAP,SEO,8903,160,8887,16
SALE,20230708,WEB,FB,319,0,215,104
SALE,20230708,WAP,Direct,43121,1689,42979,142
SALE,20230704,WEB,Direct,27192,1,26088,1104
SALE,20230704,WAP,FB,415401,30317,414960,441
SALE,20230704,WEB,whatsapp,46,0,33,13
SALE,20230704,WAP,Others,190845,21872,190408,437
SALE,20230704,WAP,whatsapp,1992,144,1980,12
SALE,20230704,WAP,Google,82562,4248,82396,166
SALE,20230704,WEB,Google,1032,2,859,173
SALE,20230704,WEB,FB,373,0,240,133
SALE,20230704,WAP,SEO,8793,128,8774,19
SALE,20230704,WAP,Direct,42135,1861,41963,172
SALE,20230704,WEB,SEO,3049,1,2650,399
SALE,20230704,WEB,Others,1335,2,915,420
SALE,20230813,WAP,whatsapp,1573,136,1562,11
SALE,20230813,WEB,Others,815,11,588,227
SALE,20230813,WAP,Others,117075,12282,116711,364
SALE,20230813,WEB,whatsapp,23,0,13,10
SALE,20230813,WEB,Direct,17444,1,16907,537
SALE,20230813,WEB,SEO,1579,0,1408,171
SALE,20230813,WAP,Google,79060,3087,78885,175
SALE,20230813,WAP,SEO,9104,169,9090,14
SALE,20230813,WAP,Direct,35514,1398,35384,130
SALE,20230813,WEB,FB,340,0,230,110
SALE,20230813,WEB,Google,804,3,666,138
SALE,20230813,WAP,FB,212926,14912,212716,210
SALE,20230820,WAP,FB,277881,17947,277627,254
SALE,20230820,WAP,Others,139634,14342,139278,356
SALE,20230820,WAP,Google,94389,4014,94243,146
SALE,20230820,WAP,SEO,7336,115,7320,16
SALE,20230820,WEB,Google,967,7,832,135
SALE,20230820,WAP,whatsapp,694,52,689,5
SALE,20230820,WEB,whatsapp,10,0,6,4
SALE,20230820,WEB,FB,497,1,343,154
SALE,20230820,WAP,Direct,39955,1619,39823,132
SALE,20230820,WEB,Others,884,2,705,179
SALE,20230820,WEB,SEO,1888,1,1677,211
SALE,20230820,WEB,Direct,18291,1,17771,520
SALE,20230803,WEB,FB,295,0,197,98
SALE,20230803,WEB,SEO,2400,0,2095,305
SALE,20230803,WAP,whatsapp,1998,136,1991,7
SALE,20230803,WAP,FB,195437,14897,195199,238
SALE,20230803,WEB,Google,1181,4,995,186
SALE,20230803,WEB,whatsapp,37,0,29,8
SALE,20230803,WEB,Others,1436,11,1009,427
SALE,20230803,WAP,Google,78522,3087,78361,161
SALE,20230803,WAP,Direct,35787,1285,35635,152
SALE,20230803,WEB,Direct,20733,1,19723,1010
SALE,20230803,WAP,Others,135091,13665,134647,444
SALE,20230803,WAP,SEO,8415,150,8406,9
SALE,20230811,WEB,Direct,19516,2,18483,1033
SALE,20230811,WEB,whatsapp,34,0,26,8
SALE,20230811,WAP,SEO,8663,126,8648,15
SALE,20230811,WEB,FB,193,0,116,77
